Rank,Guess,NumPatterns,P_solve2
1,52-34=18,1702,0.09603340
2,48-32=16,1688,0.09524347
3,72-14=58,1686,0.09513062
4,62-43=19,1686,0.09513062
5,52-38=14,1686,0.09513062
6,54-36=18,1684,0.09501777
7,56-37=19,1683,0.09496135
8,68-21=47,1682,0.09490493
9,62-13=49,1680,0.09479208
10,54-38=16,1679,0.09473565
11,56-39=17,1679,0.09473565
12,72-54=18,1677,0.09462281
13,58-21=37,1677,0.09462281
14,45-27=18,1676,0.09456638
15,84-21=63,1676,0.09456638
16,56-19=37,1675,0.09450996
17,58-42=16,1674,0.09445353
18,54-18=36,1671,0.09428426
19,62-49=13,1670,0.09422784
20,74-21=53,1670,0.09422784
21,54-16=38,1669,0.09417142
22,71-23=48,1667,0.09405857
23,72-13=59,1667,0.09405857
24,57-21=36,1667,0.09405857
25,72-53=19,1667,0.09405857
26,72-18=54,1667,0.09405857
27,58-12=46,1667,0.09405857
28,45-17=28,1666,0.09400214
29,68-27=41,1664,0.09388930
30,56-17=39,1663,0.09383287
31,52-14=38,1662,0.09377645
32,48-12=36,1660,0.09366360
33,72-58=14,1658,0.09355075
34,71-43=28,1658,0.09355075
35,46-27=19,1657,0.09349433
36,61-34=27,1657,0.09349433
37,48-36=12,1656,0.09343791
38,68-41=27,1654,0.09332506
39,69-21=48,1654,0.09332506
40,47-32=15,1650,0.09309936
41,61-37=24,1650,0.09309936
42,62-19=43,1650,0.09309936
43,61-24=37,1650,0.09309936
44,58-31=27,1649,0.09304294
45,58-46=12,1649,0.09304294
46,81-24=57,1648,0.09298651
47,45-28=17,1648,0.09298651
48,64-29=35,1648,0.09298651
49,81-27=54,1648,0.09298651
50,46-19=27,1648,0.09298651
51,45-18=27,1647,0.09293009
52,68-23=45,1647,0.09293009
53,63-15=48,1647,0.09293009
54,73-54=19,1646,0.09287367
55,84-23=61,1646,0.09287367
56,62-47=15,1644,0.09276082
57,52-18=34,1644,0.09276082
58,46-29=17,1643,0.09270440
59,69-41=28,1642,0.09264797
60,73-14=59,1642,0.09264797
61,43-27=16,1641,0.09259155
62,74-23=51,1640,0.09253512
63,45-26=19,1639,0.09247870
64,49-32=17,1639,0.09247870
65,46-17=29,1638,0.09242228
66,72-19=53,1638,0.09242228
67,71-28=43,1637,0.09236585
68,68-47=21,1637,0.09236585
69,78-32=46,1637,0.09236585
70,84-61=23,1637,0.09236585
71,91-34=57,1636,0.09230943
72,72-59=13,1636,0.09230943
73,74-16=58,1635,0.09225300
74,61-27=34,1635,0.09225300
75,78-42=36,1635,0.09225300
76,65-27=38,1634,0.09219658
77,47-29=18,1634,0.09219658
78,49-37=12,1634,0.09219658
79,57-31=26,1634,0.09219658
80,58-27=31,1633,0.09214016
81,64-25=39,1633,0.09214016
82,75-26=49,1633,0.09214016
83,45-29=16,1632,0.09208373
84,71-48=23,1632,0.09208373
85,81-57=24,1631,0.09202731
86,84-63=21,1631,0.09202731
87,68-25=43,1631,0.09202731
88,74-51=23,1630,0.09197089
89,94-21=73,1629,0.09191446
90,43-25=18,1628,0.09185804
91,59-47=12,1628,0.09185804
92,48-16=32,1628,0.09185804
93,62-17=45,1628,0.09185804
94,95-31=64,1627,0.09180161
95,85-21=64,1627,0.09180161
96,86-32=54,1627,0.09180161
97,59-42=17,1627,0.09180161
98,81-54=27,1627,0.09180161
99,75-29=46,1626,0.09174519
100,58-16=42,1626,0.09174519
101,65-17=48,1626,0.09174519
102,79-21=58,1625,0.09168877
103,59-43=16,1625,0.09168877
104,63-18=45,1625,0.09168877
105,74-18=56,1625,0.09168877
106,91-37=54,1624,0.09163234
107,73-19=54,1624,0.09163234
108,59-31=28,1624,0.09163234
109,57-39=18,1623,0.09157592
110,47-28=19,1623,0.09157592
111,43-28=15,1623,0.09157592
112,62-15=47,1622,0.09151949
113,60-12=48,1622,0.09151949
114,68-43=25,1622,0.09151949
115,57-19=38,1621,0.09146307
116,64-39=25,1621,0.09146307
117,63-45=18,1621,0.09146307
118,49-12=37,1620,0.09140665
119,43-26=17,1620,0.09140665
120,59-21=38,1619,0.09135022
121,87-31=56,1619,0.09135022
122,81-32=49,1619,0.09135022
123,65-37=28,1619,0.09135022
124,59-12=47,1619,0.09135022
125,47-19=28,1618,0.09129380
126,47-12=35,1618,0.09129380
127,79-23=56,1618,0.09129380
128,57-38=19,1617,0.09123738
129,93-41=52,1617,0.09123738
130,63-48=15,1616,0.09118095
131,62-45=17,1616,0.09118095
132,94-23=71,1616,0.09118095
133,59-13=46,1616,0.09118095
134,45-16=29,1615,0.09112453
135,74-53=21,1615,0.09112453
136,82-63=19,1614,0.09106810
137,47-35=12,1614,0.09106810
138,71-26=45,1614,0.09106810
139,58-37=21,1614,0.09106810
140,73-59=14,1614,0.09106810
141,45-19=26,1613,0.09101168
142,67-29=38,1613,0.09101168
143,87-23=64,1612,0.09095526
144,60-42=18,1612,0.09095526
145,75-46=29,1612,0.09095526
146,75-49=26,1611,0.09089883
147,43-16=27,1611,0.09089883
148,65-18=47,1611,0.09089883
149,98-31=67,1611,0.09089883
150,95-21=74,1611,0.09089883
151,71-25=46,1610,0.09084241
152,57-26=31,1610,0.09084241
153,67-49=18,1610,0.09084241
154,81-35=46,1609,0.09078598
155,50-34=16,1608,0.09072956
156,86-34=52,1608,0.09072956
157,81-39=42,1607,0.09067314
158,67-28=39,1607,0.09067314
159,79-51=28,1606,0.09061671
160,91-27=64,1606,0.09061671
161,91-24=67,1606,0.09061671
162,57-18=39,1605,0.09056029
163,43-17=26,1605,0.09056029
164,91-23=68,1605,0.09056029
165,65-47=18,1605,0.09056029
166,43-18=25,1605,0.09056029
167,86-14=72,1604,0.09050387
168,93-51=42,1604,0.09050387
169,81-42=39,1603,0.09044744
